Called number,type coverage,method name,coverage each time run,number of called Z3
5,BRANCH,expandedCapacity,100.0,5
6,BRANCH,expandedCapacity,100.0,5
7,BRANCH,expandedCapacity,100.0,5
8,BRANCH,expandedCapacity,100.0,5
9,BRANCH,expandedCapacity,100.0,5
10,BRANCH,expandedCapacity,100.0,5
1,BRANCH,findCodePoint,100.0,12
2,BRANCH,findCodePoint,100.0,12
3,BRANCH,findCodePoint,100.0,12
4,BRANCH,findCodePoint,100.0,12
5,BRANCH,findCodePoint,100.0,12
6,BRANCH,findCodePoint,100.0,12
7,BRANCH,findCodePoint,100.0,12
8,BRANCH,findCodePoint,100.0,12
9,BRANCH,findCodePoint,100.0,12
10,BRANCH,findCodePoint,100.0,12
1,BRANCH,gcd,100.0,4
2,BRANCH,gcd,100.0,4
3,BRANCH,gcd,100.0,4
4,BRANCH,gcd,100.0,4
5,BRANCH,gcd,100.0,4
6,BRANCH,gcd,100.0,4
7,BRANCH,gcd,100.0,4
8,BRANCH,gcd,100.0,4
9,BRANCH,gcd,100.0,4
10,BRANCH,gcd,100.0,4
1,BRANCH,getCases,100.0,8
2,BRANCH,getCases,100.0,8
3,BRANCH,getCases,100.0,8
4,BRANCH,getCases,100.0,8
5,BRANCH,getCases,100.0,8
6,BRANCH,getCases,100.0,8
7,BRANCH,getCases,100.0,8
8,BRANCH,getCases,100.0,8
9,BRANCH,getCases,100.0,8
10,BRANCH,getCases,100.0,8
1,BRANCH,getLengthBytes,100.0,4
2,BRANCH,getLengthBytes,100.0,4
3,BRANCH,getLengthBytes,100.0,4
4,BRANCH,getLengthBytes,100.0,4
5,BRANCH,getLengthBytes,100.0,4
6,BRANCH,getLengthBytes,100.0,4
7,BRANCH,getLengthBytes,100.0,4
8,BRANCH,getLengthBytes,100.0,4
9,BRANCH,getLengthBytes,100.0,4
10,BRANCH,getLengthBytes,100.0,4
1,BRANCH,getNumOfLenBytes,100.0,4
2,BRANCH,getNumOfLenBytes,100.0,4
3,BRANCH,getNumOfLenBytes,100.0,4
4,BRANCH,getNumOfLenBytes,100.0,4
5,BRANCH,getNumOfLenBytes,100.0,4
6,BRANCH,getNumOfLenBytes,100.0,4
7,BRANCH,getNumOfLenBytes,100.0,4
8,BRANCH,getNumOfLenBytes,100.0,4
9,BRANCH,getNumOfLenBytes,100.0,4
10,BRANCH,getNumOfLenBytes,100.0,4
1,BRANCH,getPairIndex,100.0,3
2,BRANCH,getPairIndex,100.0,3
3,BRANCH,getPairIndex,100.0,3
4,BRANCH,getPairIndex,100.0,3
5,BRANCH,getPairIndex,100.0,3
6,BRANCH,getPairIndex,100.0,3
7,BRANCH,getPairIndex,100.0,3
8,BRANCH,getPairIndex,100.0,3
9,BRANCH,getPairIndex,100.0,3
10,BRANCH,getPairIndex,100.0,3
1,BRANCH,getPrimaries,100.0,3
2,BRANCH,getPrimaries,100.0,3
3,BRANCH,getPrimaries,100.0,3
4,BRANCH,getPrimaries,100.0,3
5,BRANCH,getPrimaries,100.0,3
6,BRANCH,getPrimaries,100.0,3
7,BRANCH,getPrimaries,100.0,3
8,BRANCH,getPrimaries,100.0,3
9,BRANCH,getPrimaries,100.0,3
10,BRANCH,getPrimaries,100.0,3
1,BRANCH,getQuaternaries,100.0,6
2,BRANCH,getQuaternaries,100.0,6
3,BRANCH,getQuaternaries,100.0,6
4,BRANCH,getQuaternaries,100.0,6
5,BRANCH,getQuaternaries,100.0,6
6,BRANCH,getQuaternaries,100.0,6
7,BRANCH,getQuaternaries,100.0,6
8,BRANCH,getQuaternaries,100.0,6
9,BRANCH,getQuaternaries,100.0,6
10,BRANCH,getQuaternaries,100.0,6
1,BRANCH,getSecondariesFromOneShortCE,100.0,1
2,BRANCH,getSecondariesFromOneShortCE,100.0,1
3,BRANCH,getSecondariesFromOneShortCE,100.0,1
4,BRANCH,getSecondariesFromOneShortCE,100.0,1
5,BRANCH,getSecondariesFromOneShortCE,100.0,1
6,BRANCH,getSecondariesFromOneShortCE,100.0,1
7,BRANCH,getSecondariesFromOneShortCE,100.0,1
8,BRANCH,getSecondariesFromOneShortCE,100.0,1
9,BRANCH,getSecondariesFromOneShortCE,100.0,1
10,BRANCH,getSecondariesFromOneShortCE,100.0,1
1,BRANCH,getTertiaries,100.0,12
2,BRANCH,getTertiaries,100.0,12
3,BRANCH,getTertiaries,100.0,12
4,BRANCH,getTertiaries,100.0,12
5,BRANCH,getTertiaries,100.0,12
6,BRANCH,getTertiaries,100.0,12
7,BRANCH,getTertiaries,100.0,12
8,BRANCH,getTertiaries,100.0,12
9,BRANCH,getTertiaries,100.0,12
10,BRANCH,getTertiaries,100.0,12
1,BRANCH,highBit,100.0,5
2,BRANCH,highBit,100.0,5
3,BRANCH,highBit,100.0,5
4,BRANCH,highBit,100.0,5
5,BRANCH,highBit,100.0,5
6,BRANCH,highBit,100.0,5
7,BRANCH,highBit,100.0,5
8,BRANCH,highBit,100.0,5
9,BRANCH,highBit,100.0,5
10,BRANCH,highBit,100.0,5
1,BRANCH,isCompatibleBrand,100.0,2
2,BRANCH,isCompatibleBrand,100.0,2
3,BRANCH,isCompatibleBrand,100.0,2
4,BRANCH,isCompatibleBrand,100.0,2
5,BRANCH,isCompatibleBrand,100.0,2
6,BRANCH,isCompatibleBrand,100.0,2
7,BRANCH,isCompatibleBrand,100.0,2
8,BRANCH,isCompatibleBrand,100.0,2
9,BRANCH,isCompatibleBrand,100.0,2
10,BRANCH,isCompatibleBrand,100.0,2
1,BRANCH,lookup,100.0,3
2,BRANCH,lookup,100.0,3
3,BRANCH,lookup,100.0,3
4,BRANCH,lookup,100.0,3
5,BRANCH,lookup,100.0,3
6,BRANCH,lookup,100.0,3
7,BRANCH,lookup,100.0,3
8,BRANCH,lookup,100.0,3
9,BRANCH,lookup,100.0,3
10,BRANCH,lookup,100.0,3
