Called number,type coverage,method name,average variable each time run,average expression each time run
6,BRANCH,expandedCapacity,1.8,22.6
7,BRANCH,expandedCapacity,1.8,22.6
8,BRANCH,expandedCapacity,1.8,22.6
9,BRANCH,expandedCapacity,1.8,22.6
10,BRANCH,expandedCapacity,1.8,22.6
1,BRANCH,findCodePoint,3.9167,50.25
2,BRANCH,findCodePoint,3.9167,50.25
3,BRANCH,findCodePoint,3.9167,50.25
4,BRANCH,findCodePoint,3.9167,50.25
5,BRANCH,findCodePoint,3.9167,50.25
6,BRANCH,findCodePoint,3.9167,50.25
7,BRANCH,findCodePoint,3.9167,50.25
8,BRANCH,findCodePoint,3.9167,50.25
9,BRANCH,findCodePoint,3.9167,50.25
10,BRANCH,findCodePoint,3.9167,50.25
1,BRANCH,gcd,2.75,17.25
2,BRANCH,gcd,2.75,17.25
3,BRANCH,gcd,2.75,17.25
4,BRANCH,gcd,2.75,17.25
5,BRANCH,gcd,2.75,17.25
6,BRANCH,gcd,2.75,17.25
7,BRANCH,gcd,2.75,17.25
8,BRANCH,gcd,2.75,17.25
9,BRANCH,gcd,2.75,17.25
10,BRANCH,gcd,2.75,17.25
1,BRANCH,getCases,2,11.5
2,BRANCH,getCases,2,11.5
3,BRANCH,getCases,2,11.5
4,BRANCH,getCases,2,11.5
5,BRANCH,getCases,2,11.5
6,BRANCH,getCases,2,11.5
7,BRANCH,getCases,2,11.5
8,BRANCH,getCases,2,11.5
9,BRANCH,getCases,2,11.5
10,BRANCH,getCases,2,11.5
1,BRANCH,getLengthBytes,1,10
2,BRANCH,getLengthBytes,1,10
3,BRANCH,getLengthBytes,1,10
4,BRANCH,getLengthBytes,1,10
5,BRANCH,getLengthBytes,1,10
6,BRANCH,getLengthBytes,1,10
7,BRANCH,getLengthBytes,1,10
8,BRANCH,getLengthBytes,1,10
9,BRANCH,getLengthBytes,1,10
10,BRANCH,getLengthBytes,1,10
1,BRANCH,getNumOfLenBytes,1,10
2,BRANCH,getNumOfLenBytes,1,10
3,BRANCH,getNumOfLenBytes,1,10
4,BRANCH,getNumOfLenBytes,1,10
5,BRANCH,getNumOfLenBytes,1,10
6,BRANCH,getNumOfLenBytes,1,10
7,BRANCH,getNumOfLenBytes,1,10
8,BRANCH,getNumOfLenBytes,1,10
9,BRANCH,getNumOfLenBytes,1,10
10,BRANCH,getNumOfLenBytes,1,10
1,BRANCH,getPairIndex,4,157.6667
2,BRANCH,getPairIndex,4,157.6667
3,BRANCH,getPairIndex,4,157.6667
4,BRANCH,getPairIndex,4,157.6667
5,BRANCH,getPairIndex,4,157.6667
6,BRANCH,getPairIndex,4,157.6667
7,BRANCH,getPairIndex,4,157.6667
8,BRANCH,getPairIndex,4,157.6667
9,BRANCH,getPairIndex,4,157.6667
10,BRANCH,getPairIndex,4,157.6667
1,BRANCH,getPrimaries,1.6667,8
2,BRANCH,getPrimaries,1.6667,8
3,BRANCH,getPrimaries,1.6667,8
4,BRANCH,getPrimaries,1.6667,8
5,BRANCH,getPrimaries,1.6667,8
6,BRANCH,getPrimaries,1.6667,8
7,BRANCH,getPrimaries,1.6667,8
8,BRANCH,getPrimaries,1.6667,8
9,BRANCH,getPrimaries,1.6667,8
10,BRANCH,getPrimaries,1.6667,8
1,BRANCH,getQuaternaries,1.6667,8.8333
2,BRANCH,getQuaternaries,1.6667,8.8333
3,BRANCH,getQuaternaries,1.6667,8.8333
4,BRANCH,getQuaternaries,1.6667,8.8333
5,BRANCH,getQuaternaries,1.6667,8.8333
6,BRANCH,getQuaternaries,1.6667,8.8333
7,BRANCH,getQuaternaries,1.6667,8.8333
8,BRANCH,getQuaternaries,1.6667,8.8333
9,BRANCH,getQuaternaries,1.6667,8.8333
10,BRANCH,getQuaternaries,1.6667,8.8333
1,BRANCH,getSecondariesFromOneShortCE,1,6
2,BRANCH,getSecondariesFromOneShortCE,1,6
3,BRANCH,getSecondariesFromOneShortCE,1,6
4,BRANCH,getSecondariesFromOneShortCE,1,6
5,BRANCH,getSecondariesFromOneShortCE,1,6
6,BRANCH,getSecondariesFromOneShortCE,1,6
7,BRANCH,getSecondariesFromOneShortCE,1,6
8,BRANCH,getSecondariesFromOneShortCE,1,6
9,BRANCH,getSecondariesFromOneShortCE,1,6
10,BRANCH,getSecondariesFromOneShortCE,1,6
1,BRANCH,getTertiaries,2.3333,10.4167
2,BRANCH,getTertiaries,2.3333,10.4167
3,BRANCH,getTertiaries,2.3333,10.4167
4,BRANCH,getTertiaries,2.3333,10.4167
5,BRANCH,getTertiaries,2.3333,10.4167
6,BRANCH,getTertiaries,2.3333,10.4167
7,BRANCH,getTertiaries,2.3333,10.4167
8,BRANCH,getTertiaries,2.3333,10.4167
9,BRANCH,getTertiaries,2.3333,10.4167
10,BRANCH,getTertiaries,2.3333,10.4167
1,BRANCH,highBit,1,17.2
2,BRANCH,highBit,1,17.2
3,BRANCH,highBit,1,17.2
4,BRANCH,highBit,1,17.2
5,BRANCH,highBit,1,17.2
6,BRANCH,highBit,1,17.2
7,BRANCH,highBit,1,17.2
8,BRANCH,highBit,1,17.2
9,BRANCH,highBit,1,17.2
10,BRANCH,highBit,1,17.2
1,BRANCH,isCompatibleBrand,1.5,9.5
2,BRANCH,isCompatibleBrand,1.5,9.5
3,BRANCH,isCompatibleBrand,1.5,9.5
4,BRANCH,isCompatibleBrand,1.5,9.5
5,BRANCH,isCompatibleBrand,1.5,9.5
6,BRANCH,isCompatibleBrand,1.5,9.5
7,BRANCH,isCompatibleBrand,1.5,9.5
8,BRANCH,isCompatibleBrand,1.5,9.5
9,BRANCH,isCompatibleBrand,1.5,9.5
10,BRANCH,isCompatibleBrand,1.5,9.5
1,BRANCH,lookup,2,15.6667
2,BRANCH,lookup,2,15.6667
3,BRANCH,lookup,2,15.6667
4,BRANCH,lookup,2,15.6667
5,BRANCH,lookup,2,15.6667
6,BRANCH,lookup,2,15.6667
7,BRANCH,lookup,2,15.6667
8,BRANCH,lookup,2,15.6667
9,BRANCH,lookup,2,15.6667
10,BRANCH,lookup,2,15.6667
